2026-04-16 09:40:21 | INFO     | GATv2:126 | Epoch 30/100, Loss: 0.000048 (Best: 0.000048 @ Epoch 30)
2026-04-16 09:40:21 | INFO     | GATv2:126 | Epoch 40/100, Loss: 0.000048 (Best: 0.000048 @ Epoch 40)
2026-04-16 09:40:21 | INFO     | GATv2:126 | Epoch 50/100, Loss: 0.000047 (Best: 0.000047 @ Epoch 50)
2026-04-16 09:40:21 | INFO     | GATv2:126 | Epoch 60/100, Loss: 0.000047 (Best: 0.000047 @ Epoch 60)
2026-04-16 09:40:21 | INFO     | GATv2:126 | Epoch 70/100, Loss: 0.000046 (Best: 0.000046 @ Epoch 70)
2026-04-16 09:40:22 | INFO     | GATv2:126 | Epoch 80/100, Loss: 0.000046 (Best: 0.000046 @ Epoch 80)
2026-04-16 09:40:22 | INFO     | GATv2:126 | Epoch 90/100, Loss: 0.000045 (Best: 0.000045 @ Epoch 90)
2026-04-16 09:40:22 | INFO     | GATv2:126 | Epoch 100/100, Loss: 0.000045 (Best: 0.000045 @ Epoch 100)
2026-04-16 09:40:22 | INFO     | GATv2:126 | 训练完成！最佳损失: 0.000045 @ Epoch 100
2026-04-16 09:40:22 | INFO     | GATv2:126 | 模型已保存到: D:\file\4\labreserve\algorithm\models\gatv2_model.pth
2026-04-16 09:40:22 | INFO     | GATv2:126 | 提取节点嵌入向量...
2026-04-16 09:40:22 | INFO     | GATv2:126 | 模型重新训练完成
2026-04-16 09:40:22 | INFO     | GATv2:126 | 后台训练任务完成
2026-04-16 09:40:44 | INFO     | GATv2:126 | 开始后台训练任务...
2026-04-16 09:40:44 | INFO     | GATv2:126 | 开始重新训练GATv2模型...
2026-04-16 09:40:44 | INFO     | GATv2:126 | 开始从数据库加载图数据...
2026-04-16 09:40:44 | INFO     | GATv2:126 | 加载用户数据...
2026-04-16 09:40:44 | INFO     | GATv2:126 | 加载设备数据...
2026-04-16 09:40:44 | INFO     | GATv2:126 | 加载预约关系边数据...
2026-04-16 09:40:44 | INFO     | GATv2:126 | 图数据加载完成: 用户数=2, 设备数=2, 边数=4
2026-04-16 09:40:44 | INFO     | GATv2:126 | 开始训练GATv2模型，总轮数: 100
2026-04-16 09:40:44 | INFO     | GATv2:126 | Epoch 10/100, Loss: 0.000045 (Best: 0.000045 @ Epoch 10)
2026-04-16 09:40:44 | INFO     | GATv2:126 | Epoch 20/100, Loss: 0.000044 (Best: 0.000044 @ Epoch 20)
