2026-04-18 12:35:20 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=推理)
2026-04-18 12:35:20 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:20 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=5, 模式=推理
2026-04-18 12:35:20 | INFO     | GATv2:126 | 创建新的PPO模型... (state_dim=24, action_dim=2)
2026-04-18 12:35:20 | INFO     | GATv2:126 | Actor-Critic网络初始化完成: state_dim=24, action_dim=2
2026-04-18 12:35:20 | INFO     | GATv2:126 | PPO训练器初始化完成: device=cpu, lr=0.0003
2026-04-18 12:35:20 | INFO     | GATv2:126 | PPO智能调度器初始化成功！
2026-04-18 12:35:20 | INFO     | GATv2:126 | 开始PPO模型训练: 10 轮, max_steps=100
2026-04-18 12:35:20 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:20 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:20 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:20 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:20 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:20 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:20 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:20 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:20 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:20 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:20 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:20 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:20 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:20 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:20 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:21 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:21 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:21 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:21 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:21 | INFO     | GATv2:126 | Episode 5/10, Avg Reward: 1.30, Accuracy: 43.4%, Avg Loss: 38.9566, Steps/ep: ~1
2026-04-18 12:35:21 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:21 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:21 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:21 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:21 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:21 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:21 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:21 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:21 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=训练)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:21 | INFO     | GATv2:126 | 加载已完成预约 8 条作为训练数据 (批准=8, 拒绝=0)
2026-04-18 12:35:21 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=8, 模式=训练
2026-04-18 12:35:21 | INFO     | GATv2:126 | 标签分布: 批准=8, 拒绝=0
2026-04-18 12:35:22 | INFO     | GATv2:126 | Episode 10/10, Avg Reward: 47.50, Accuracy: 93.8%, Avg Loss: 362.0966, Steps/ep: ~6
2026-04-18 12:35:22 | INFO     | GATv2:126 | PPO模型已保存到: D:\file\4\labreserve\algorithm\models\ppo_model.pth
2026-04-18 12:35:22 | INFO     | GATv2:126 | 重置PPO调度环境... (mode=推理)
2026-04-18 12:35:22 | INFO     | GATv2:126 | 加载调度环境数据...
2026-04-18 12:35:22 | INFO     | GATv2:126 | 环境重置完成: 设备数=6, 请求数=5, 模式=推理
2026-04-18 12:35:22 | INFO     | GATv2:126 | 后台训练任务完成
2026-04-18 12:36:08 | INFO     | GATv2:126 | 为用户 1 生成Top-8推荐...
2026-04-18 12:36:08 | INFO     | GATv2:126 | 为用户 1 生成了 5 条推荐
2026-04-18 12:36:08 | INFO     | GATv2:126 | 保存 5 条推荐到数据库...
2026-04-18 12:36:08 | INFO     | GATv2:126 | 推荐结果已保存到数据库
2026-04-18 12:36:25 | INFO     | GATv2:126 | PPO调度环境初始化完成 (动作空间=2: 批准/拒绝)
2026-04-18 12:36:25 | INFO     | GATv2:126 | PPO智能调度器初始化完成 (动作空间=2: 批准/拒绝)
2026-04-18 12:36:26 | INFO     | GATv2:126 | ============================================================
2026-04-18 12:36:26 | INFO     | GATv2:126 | 实验室智能算法服务启动中...
2026-04-18 12:36:26 | INFO     | GATv2:126 | ============================================================
2026-04-18 12:36:26 | INFO     | GATv2:126 | 正在初始化GATv2推荐器...
2026-04-18 12:36:26 | INFO     | GATv2:126 | 正在初始化GATv2推荐器... (in_channels=None, hidden_channels=None, out_channels=None, lr=None, epochs=None)
2026-04-18 12:36:26 | INFO     | GATv2:126 | 从文件加载图数据...
2026-04-18 12:36:26 | INFO     | GATv2:126 | 从文件加载完成: 用户数=2, 设备数=6
2026-04-18 12:36:26 | INFO     | GATv2:126 | 加载已训练的模型...
2026-04-18 12:36:26 | INFO     | GATv2:126 | GATv2模型初始化完成: in=8, hidden=16, out=4, heads=1
2026-04-18 12:36:26 | INFO     | GATv2:126 | 训练器初始化完成，使用设备: cpu, lr: 0.01
2026-04-18 12:36:26 | INFO     | GATv2:126 | 模型已从 D:\file\4\labreserve\algorithm\models\gatv2_model.pth 加载
2026-04-18 12:36:26 | INFO     | GATv2:126 | 提取节点嵌入向量...
2026-04-18 12:36:26 | INFO     | GATv2:126 | GATv2推荐器初始化成功！
2026-04-18 12:36:26 | INFO     | GATv2:126 | GATv2推荐器初始化成功！
2026-04-18 12:36:26 | INFO     | GATv2:126 | 正在初始化PPO调度器...
2026-04-18 12:36:26 | INFO     | GATv2:126 | PPO调度器没有data_exists方法，将在首次请求时初始化
2026-04-18 12:36:26 | INFO     | GATv2:126 | ============================================================
2026-04-18 12:36:26 | INFO     | GATv2:126 | 实验室智能算法服务启动完成！
2026-04-18 12:36:26 | INFO     | GATv2:126 | API文档地址: http://0.0.0.0:8000/docs
2026-04-18 12:36:26 | INFO     | GATv2:126 | ============================================================
2026-04-18 12:36:29 | INFO     | GATv2:126 | 为用户 1 生成Top-8推荐...
2026-04-18 12:36:29 | INFO     | GATv2:126 | 为用户 1 生成了 5 条推荐
2026-04-18 12:36:29 | INFO     | GATv2:126 | 保存 5 条推荐到数据库...
2026-04-18 12:36:29 | INFO     | GATv2:126 | 推荐结果已保存到数据库
2026-04-18 12:36:38 | INFO     | GATv2:126 | 开始后台训练任务...
2026-04-18 12:36:38 | INFO     | GATv2:126 | 开始重新训练GATv2模型... (in_channels=8, hidden_channels=16, out_channels=4, lr=0.01, epochs=100)
2026-04-18 12:36:38 | INFO     | GATv2:126 | 开始从数据库加载图数据...
2026-04-18 12:36:38 | INFO     | GATv2:126 | 加载用户数据...
2026-04-18 12:36:38 | INFO     | GATv2:126 | 加载设备数据...
2026-04-18 12:36:38 | INFO     | GATv2:126 | 加载预约关系边数据...
2026-04-18 12:36:38 | INFO     | GATv2:126 | 图数据加载完成: 用户数=2, 设备数=6, 边数=4
2026-04-18 12:36:38 | INFO     | GATv2:126 | GATv2模型初始化完成: in=8, hidden=16, out=4, heads=1
2026-04-18 12:36:38 | INFO     | GATv2:126 | 训练器初始化完成，使用设备: cpu, lr: 0.01
2026-04-18 12:36:38 | INFO     | GATv2:126 | 开始训练GATv2模型，总轮数: 100
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 10/100, Loss: 0.081630 (Best: 0.081630 @ Epoch 10)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 20/100, Loss: 0.056851 (Best: 0.056851 @ Epoch 20)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 30/100, Loss: 0.045849 (Best: 0.045849 @ Epoch 30)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 40/100, Loss: 0.034158 (Best: 0.034158 @ Epoch 40)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 50/100, Loss: 0.018794 (Best: 0.018794 @ Epoch 50)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 60/100, Loss: 0.007388 (Best: 0.007388 @ Epoch 60)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 70/100, Loss: 0.002773 (Best: 0.002773 @ Epoch 70)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 80/100, Loss: 0.001377 (Best: 0.001377 @ Epoch 80)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 90/100, Loss: 0.000971 (Best: 0.000971 @ Epoch 90)
2026-04-18 12:36:39 | INFO     | GATv2:126 | Epoch 100/100, Loss: 0.000792 (Best: 0.000792 @ Epoch 100)
2026-04-18 12:36:39 | INFO     | GATv2:126 | 训练完成！最佳损失: 0.000792 @ Epoch 100
2026-04-18 12:36:39 | INFO     | GATv2:126 | 模型已保存到: D:\file\4\labreserve\algorithm\models\gatv2_model.pth
2026-04-18 12:36:39 | INFO     | GATv2:126 | 提取节点嵌入向量...
2026-04-18 12:36:39 | INFO     | GATv2:126 | 模型重新训练完成
2026-04-18 12:36:39 | INFO     | GATv2:126 | 后台训练任务完成
2026-04-18 12:36:55 | INFO     | GATv2:126 | 为用户 1 生成Top-8推荐...
2026-04-18 12:36:55 | INFO     | GATv2:126 | 为用户 1 生成了 5 条推荐
2026-04-18 12:36:55 | INFO     | GATv2:126 | 保存 5 条推荐到数据库...
2026-04-18 12:36:55 | INFO     | GATv2:126 | 推荐结果已保存到数据库
2026-04-18 12:37:04 | INFO     | GATv2:126 | 开始后台训练任务...
2026-04-18 12:37:04 | INFO     | GATv2:126 | 开始重新训练GATv2模型... (in_channels=8, hidden_channels=16, out_channels=4, lr=0.01, epochs=500)
2026-04-18 12:37:04 | INFO     | GATv2:126 | 开始从数据库加载图数据...
2026-04-18 12:37:04 | INFO     | GATv2:126 | 加载用户数据...
2026-04-18 12:37:04 | INFO     | GATv2:126 | 加载设备数据...
2026-04-18 12:37:05 | INFO     | GATv2:126 | 加载预约关系边数据...
2026-04-18 12:37:05 | INFO     | GATv2:126 | 图数据加载完成: 用户数=2, 设备数=6, 边数=4
2026-04-18 12:37:05 | INFO     | GATv2:126 | GATv2模型初始化完成: in=8, hidden=16, out=4, heads=1
2026-04-18 12:37:05 | INFO     | GATv2:126 | 训练器初始化完成，使用设备: cpu, lr: 0.01
2026-04-18 12:37:05 | INFO     | GATv2:126 | 开始训练GATv2模型，总轮数: 500
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 10/500, Loss: 0.188799 (Best: 0.188799 @ Epoch 10)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 20/500, Loss: 0.086855 (Best: 0.086855 @ Epoch 20)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 30/500, Loss: 0.073249 (Best: 0.073249 @ Epoch 30)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 40/500, Loss: 0.044973 (Best: 0.044973 @ Epoch 40)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 50/500, Loss: 0.022501 (Best: 0.022212 @ Epoch 48)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 60/500, Loss: 0.016135 (Best: 0.016135 @ Epoch 60)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 70/500, Loss: 0.013938 (Best: 0.013938 @ Epoch 70)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 80/500, Loss: 0.012180 (Best: 0.012180 @ Epoch 80)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 90/500, Loss: 0.011119 (Best: 0.011119 @ Epoch 90)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 100/500, Loss: 0.010232 (Best: 0.010232 @ Epoch 100)
2026-04-18 12:37:05 | INFO     | GATv2:126 | Epoch 110/500, Loss: 0.009173 (Best: 0.009173 @ Epoch 110)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 120/500, Loss: 0.007082 (Best: 0.007082 @ Epoch 120)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 130/500, Loss: 0.003871 (Best: 0.003871 @ Epoch 130)
2026-04-18 12:37:06 | INFO     | GATv2:126 | Epoch 140/500, Loss: 0.001640 (Best: 0.001640 @ Epoch 140)
